t_s,seq,gx_dps,gy_dps,gz_dps,ax_g,ay_g,az_g,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
1.151,7577,-0.12,-0.06,-0.05,-0.028,-0.012,-0.995,2068,2056,2572,16,38,57
1.156,7578,-0.18,0.06,0.01,-0.028,-0.012,-0.995,2068,2056,2572,15,36,56
1.161,7579,-0.12,-0.00,-0.05,-0.028,-0.012,-0.995,2068,2056,2572,16,37,57
1.166,7580,0.01,-0.00,0.01,-0.028,-0.012,-0.995,2068,2056,2572,18,37,56
1.171,7581,-0.12,0.18,0.01,-0.028,-0.012,-0.995,2068,2056,2572,16,34,56
1.176,7582,0.07,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,19,36,56
1.181,7583,-0.05,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,36,56
1.186,7584,0.01,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,36,56
1.191,7585,0.01,-0.12,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,39,57
1.196,7586,0.01,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,38,56
1.201,7587,0.01,-0.06,0.01,-0.020,-0.012,-1.003,2072,2056,2576,18,38,56
1.206,7588,0.13,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,20,37,56
1.211,7589,0.07,0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,19,36,55
1.216,7590,0.01,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,18,37,55
1.221,7591,0.01,-0.06,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,18,38,57
1.226,7592,0.01,-0.00,0.01,-0.020,-0.012,-1.003,2072,2056,2576,18,37,56
1.231,7593,0.07,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,19,37,55
1.236,7594,-0.05,-0.00,0.01,-0.020,-0.012,-1.003,2072,2056,2576,17,37,56
1.241,7595,0.01,-0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,38,55
1.246,7596,-0.12,-0.06,0.13,-0.020,-0.012,-1.003,2072,2056,2576,16,38,54
1.251,7597,0.07,0.06,0.01,-0.020,-0.012,-1.003,2072,2056,2576,19,36,56
1.256,7598,0.01,-0.00,0.01,-0.020,-0.012,-1.003,2072,2056,2576,18,37,56
1.261,7599,-0.05,0.12,0.07,-0.020,-0.012,-0.995,2072,2056,2572,17,35,55
1.266,7600,0.01,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,36,56
1.271,7601,0.01,-0.00,0.07,-0.020,-0.012,-0.995,2072,2056,2572,18,37,55
1.276,7602,-0.05,-0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,39,56
1.281,7603,-0.05,-0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,39,56
1.286,7604,0.01,-0.06,0.13,-0.020,-0.012,-0.995,2072,2056,2572,18,38,54
1.291,7605,-0.05,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,38,56
1.296,7606,0.01,0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,35,56
1.301,7607,-0.05,-0.00,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,17,37,57
1.306,7608,-0.12,-0.06,0.13,-0.020,-0.012,-0.995,2072,2056,2572,16,38,54
1.311,7609,-0.05,0.06,-0.12,-0.020,-0.012,-0.995,2072,2056,2572,17,36,58
1.316,7610,0.01,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,37,56
1.321,7611,-0.12,-0.06,-0.12,-0.020,-0.012,-0.995,2072,2056,2572,16,38,58
1.326,7612,0.01,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,36,56
1.331,7613,-0.05,0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,17,36,57
1.336,7614,0.01,-0.00,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,37,57
1.341,7615,0.07,-0.00,0.07,-0.020,-0.012,-0.995,2072,2056,2572,19,37,55
1.346,7616,-0.05,-0.06,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,17,38,57
1.351,7617,0.01,0.12,-0.12,-0.020,-0.012,-1.003,2072,2056,2576,18,35,58
